Birth Rate,Business Tax Rate,CO2 Emissions,Country,Date,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound
0.050332,,381.368,Chad,2003-12-01,64.0,,,2736666450.54794,0.0577984393406369,16.9875419910515,,0.1027,0.00320308555366775,0.18,47.894,46.389,0.00698081478781438,0.49207160949707,0.48057098388671904,0.0273572754859924,9311234,0.21735,Africa,,
0.039421,,99.009,Comoros,2003-12-01,,,,324470868.885287,0.0361136204505186,20.5399179759219,,0.0721,0.008481893701515369,0.118333333333333,60.089,57.149,0.0035057520626968703,0.413575325012207,0.556050834655762,0.0303703308105469,570491,0.27947,Africa,16000000.0,8000000.0
0.046640999999999995,,1697.821,"Congo, Dem. Rep.",2003-12-01,166.0,,18503.283,8937565919.14202,0.0508490872107369,5.65641980600109,,0.11059999999999999,0.0013491483743733501,,48.823,45.911,0.024449052478930602,0.463810043334961,0.508016815185547,0.0281731128692627,50972323,0.36526000000000003,Africa,,
0.039306,,1085.432,"Congo, Rep.",2003-12-01,37.0,,999.168,3495868724.65945,0.026105074660680197,27.1330711186311,,0.0699,0.00460014186837522,0.18,54.149,52.001,0.09811447759392379,0.420683975219727,0.5437953186035159,0.0355210089683533,3363418,0.60076,Africa,30000000.0,118000000.0
0.037242,,5460.163,Cote d'Ivoire,2003-12-01,62.0,,6578.041,13737482343.3822,0.051379420317338005,41.7405269984499,,0.0935,0.0075866962945220495,,47.284,45.681,0.07573690547866291,0.422364883422852,0.5484494018554691,0.0291857361793518,16909801,0.45513,Africa,76000000.0,551000000.0
0.029213,,407.037,Djibouti,2003-12-01,,,,622044665.515049,0.0622108560156012,50.0750828028053,,0.0746,0.006259402293998881,0.113,58.914,55.98,0.0304601468708821,0.389634284973145,0.578145523071289,0.0322241878509521,755085,0.7667,Africa,6900000.0,9900000.0
0.024378,,147963.45,"Egypt, Arab Rep.",2003-12-01,37.0,,48970.616,82923680621.5433,0.0561673008733892,56.0560772276126,,0.0293,0.040378851070670095,0.135333333333333,71.544,66.787,0.08349882145209939,0.335343856811523,0.61037841796875,0.0542776966094971,69432477,0.42935,Africa,4704000000.0,1465000000.0
0.038415,,6017.547,Equatorial Guinea,2003-12-01,,,,2484745875.85448,0.0195035039917524,101.277552995309,,0.0916,0.00520524272046806,0.18,49.473,46.97,0.0729924439629093,0.414586524963379,0.551270599365234,0.034144635200500505,568552,0.38802,Africa,,
0.040012,,726.066,Eritrea,2003-12-01,,,804.279,870247701.706937,0.0322927879440258,6.28330129995586,,0.0514,,,59.899,55.466,,0.446161270141602,0.534798736572266,0.0190402173995972,4472533,0.18315,Africa,74000000.0,
0.04077,,4946.783,Ethiopia,2003-12-01,46.0,,27648.292,8465744000.66553,0.0491036660425832,5.82435707329847,,0.0787,0.00105811658802603,0.07,55.497,53.763,0.000712935659404226,0.464803047180176,0.504376487731934,0.0308204364776611,71989666,0.1531,Africa,336000000.0,63000000.0
0.033323,,1334.788,Gabon,2003-12-01,,,1592.81,6054883172.03912,0.0378400418432724,174.124905068876,,0.052700000000000004,0.0265958659385985,0.18,60.585,58.436,0.227994710522716,0.39945053100585903,0.543095550537109,0.0574546670913696,1315820,0.8223,Africa,84000000.0,239000000.0
0.044687,,315.362,"Gambia, The",2003-12-01,,,,487038678.244965,0.042190480454808006,15.2374000497956,,0.0594,0.02436781193062,0.293333333333333,57.45,54.896,0.110711669143405,0.459114532470703,0.51492790222168,0.0259575486183167,1348548,0.50592,Africa,58000000.0,8000000.0
0.034189,,7631.027,Ghana,2003-12-01,22.0,,8225.622,7632720680.28119,0.0484923769266465,18.2314263847121,,0.0601,0.0119305791098328,,58.599,57.013,0.0391853661809172,0.406873779296875,0.56076057434082,0.0323655867576599,20301686,0.45951000000000003,Africa,441000000.0,216000000.0
0.040873,,1342.122,Guinea,2003-12-01,40.0,,,3446442218.89829,0.0489423743893538,18.3253384884369,,0.0917,0.004509603708427509,,51.853,51.65,0.0121135334677374,0.43828784942627,0.528572235107422,0.033139910697937,9204581,0.3206,Africa,,36000000.0
0.040722,,194.351,Guinea-Bissau,2003-12-01,,,,465414407.988807,0.0577585582255083,19.7578677611147,,0.1012,0.0135419747762901,,52.788,51.184,0.0009371148182475,0.431443252563477,0.538780746459961,0.0297752618789673,1360559,0.39161999999999997,Africa,2400000.0,21300000.0
0.038825000000000005,,6754.614,Kenya,2003-12-01,60.0,,14769.104,14904504019.398,0.044473405581348706,19.5503275852839,,0.06470000000000001,0.029419028610152397,0.16573333333333298,54.25,52.484,0.0469188757968549,0.431651611328125,0.540842590332031,0.027505874633789097,33905011,0.20948,Africa,619000000.0,127000000.0
0.029668,,,Lesotho,2003-12-01,93.0,,,969181550.992505,0.0712919091359014,36.389434704187,,0.0833,0.0153249659019509,0.16015000000000001,43.94,43.715,0.0663328693455771,0.403876342773438,0.5498265457153321,0.0462976551055908,1898757,0.21137,Africa,21000000.0,242000000.0
0.041366999999999994,,531.715,Liberia,2003-12-01,,,,409000000.0,0.0343834055046588,4.50122361805566,,0.0968,0.000318689345450327,0.170566666666667,54.141,52.555,0.0151237652125873,0.43236907958984405,0.537233924865723,0.0303966879844666,3124222,0.45360999999999996,Africa,,
0.022617,,49167.136,Libya,2003-12-01,,,17440.706,24062500000.0,0.041303360520257,193.813673976458,,0.0219,0.0281451798740855,0.07,74.738,71.266,0.0234204475629088,0.314676952362061,0.644049606323242,0.0412732839584351,5422612,0.7665500000000001,Africa,243000000.0,689000000.0
0.038901000000000005,,1701.488,Madagascar,2003-12-01,67.0,,,5474030227.58602,0.0484446225705308,15.377288337133,,0.0605,0.00423252419277809,0.2425,61.516,59.016,0.0164489113684763,0.45224826812744096,0.518292045593262,0.029459779262542698,17245275,0.27936,Africa,119000000.0,67000000.0
0.043371,,957.087,Malawi,2003-12-01,45.0,,,2424656666.0654,0.0634731848757388,12.5748795076422,,0.0843,0.00278815116302304,0.48916666666666697,47.352,47.274,0.011039862848615401,0.46098335266113305,0.50855525970459,0.0304613900184631,12238739,0.14875,Africa,66000000.0,70000000.0
0.048218000000000004,,539.049,Mali,2003-12-01,41.0,,,4362439886.7199,0.062183126027286005,23.5166037206343,,0.10490000000000001,0.00310364443230575,,50.203,50.843,0.0220346519708974,0.46173980712890594,0.5061956405639649,0.032064745426178,11219737,0.30547,Africa,136000000.0,94000000.0
0.037348,,1474.134,Mauritania,2003-12-01,82.0,,,1563072653.30951,0.0538708089035028,23.2605875497118,,0.0756,0.00424004895843197,0.21,61.547,58.501,0.118338977370015,0.420369834899902,0.5480315399169919,0.0315986251831055,2965667,0.5161,Africa,,
0.0158,,3146.286,Mauritius,2003-12-01,,,,5609836353.56371,0.0389089598314139,187.94583147129,,0.013699999999999999,0.12187106204130799,0.21,75.6366666666667,68.7733333333333,0.384005959336002,0.249139442443848,0.686585922241211,0.064273796081543,1222811,0.4204,Africa,960000000.0,236000000.0
